FC Target vs Input,FC Target vs Beads,seq_origin,log_FC_Target_vs_Input,log_FC_Target_vs_Beads
9934.7097970041,583.6231930221,Bayer1,3.9971551854,2.7661325423
685.6200865148,1.1118024946,Bayer1,2.8360835326,0.0460276441
369.686361445,1.2550854327,Bayer1,2.5678334288,0.0986732889
361.914840996,1.2222215398,Bayer1,2.5586063925,0.0871499332
355.6688528448,1.300360279,Bayer1,2.5510458342,0.114063695
330.4980693536,1.2765012716,Bayer1,2.5191689268,0.1060212518
280.945347706,1.0989350217,Bayer1,2.4486218448,0.040972014
270.2105033669,1.0580293381,Bayer1,2.4317022265,0.0244977104
267.5879781283,1.2106595137,Bayer1,2.4274665981,0.0830220192
260.2819157765,1.0363672301,Bayer1,2.4154439947,0.0155136722
246.1383863103,1.0222274239,Bayer1,2.391179349,0.0095475279
217.4843540186,0.5083898169,Bayer1,2.337428019,-0.293803157
205.2494532505,1.2632249492,Bayer1,2.3122820089,0.1014806946
196.6069852667,1.1053289436,Bayer1,2.2935989439,0.0434915424
190.8053495263,1.0731475996,Bayer1,2.2805905467,0.0306594585
186.5632973724,1.2362917628,Bayer1,2.270826209,0.0921209756
177.8205334672,0.9807507308,Bayer1,2.2499819088,-0.0084413596
175.4093770386,0.9418391976,Bayer1,2.2440528062,-0.026023239
170.8709699887,0.8852153604,Bayer1,2.2326682848,-0.0529510587
169.7694415796,1.2911137691,Bayer1,2.2298595201,0.1109645127
139.4812898518,0.8977061837,Bayer1,2.1445159549,-0.0468657833
132.54367211,0.8881151758,Bayer1,2.1223589985,-0.0515307088
129.4108615695,0.7856282308,Bayer1,2.1119707286,-0.104782919
124.3835369687,0.9446971125,Bayer1,2.0947629022,-0.0247074121
119.4326673013,119.4326673013,a4b7,2.0771231316,2.0771231316
118.4340654156,0.4699532747,Bayer1,2.0734766373,-0.3279453199
113.3559475683,0.7792378113,Bayer1,2.0544443117,-0.1083299822
105.7951597052,0.8035140058,Bayer1,2.0244657985,-0.0950065488
103.9882344986,103.9882344986,Bayer1,2.0169842049,2.0169842049
103.342639839,103.342639839,Bayer1,2.0142795512,2.0142795512
95.2764889195,0.929928831,Bayer1,1.9789857444,-0.0315502875
94.4163758719,94.4163758719,Bayer1,1.9750473262,1.9750473262
91.2182207458,0.2710030473,Bayer1,1.9600815969,-0.5670258256
85.6585280996,0.5547864275,Bayer1,1.9327706075,-0.2558741722
82.5308603098,0.760582855,Bayer1,1.9166163723,-0.1188534686
77.075008173,0.7650187789,Bayer1,1.8869135795,-0.1163279041
73.1014105459,1.3166328817,Bayer1,1.8639257571,0.119464697
72.2608128697,0.6855587948,Bayer1,1.8589028427,-0.1639552934
71.7872406162,0.6868112791,Bayer1,1.8560472601,-0.1631625813
68.4511970967,0.5602682856,Bayer1,1.8353810476,-0.2516039604
68.1877624373,68.1877624373,a4b7,1.8337064394,1.8337064394
67.9938514199,67.9938514199,a4b7,1.8324696419,1.8324696419
67.933341437,0.5592425061,Bayer1,1.8320829768,-0.2523998268
67.1131082791,67.1131082791,Bayer1,1.8268073532,1.8268073532
66.4480170115,1.1652165484,Bayer1,1.822482025,0.0664066438
65.4178350192,0.8153737797,Bayer1,1.8156961672,-0.0886432585
60.4476959959,0.8270426545,Bayer1,1.7813797521,-0.0824720912
59.8556432339,59.8556432339,a4b7,1.7771051023,1.7771051023
58.5599883894,0.8002327513,Bayer1,1.7676009819,-0.0967836781
58.4252966878,58.4252966878,Bayer1,1.7666009264,1.7666009264
57.5292523801,0.7583497584,Bayer1,1.7598887302,-0.1201304473
57.4624284105,0.478199298,Bayer1,1.7593839757,-0.3203910658
57.0567607923,57.0567607923,Bayer1,1.7563071124,1.7563071124
55.9564665312,1.0699608562,a4b7,1.7478502824,0.0293678896
55.4660309075,0.7449361264,Bayer1,1.7440270893,-0.1278809637
52.6230550209,52.6230550209,a4b7,1.7211760574,1.7211760574
52.0349321241,52.0349321241,a4b7,1.7162949924,1.7162949924
49.8442915038,49.8442915038,Bayer1,1.6976154272,1.6976154272
49.5975994887,51.6217208312,a4b7,1.6954606573,1.7128324778
49.5950704361,0.5875748805,Bayer1,1.6954385114,-0.2309367791
49.2979308001,0.7292417697,Bayer1,1.6928286909,-0.1371284637
49.2466702858,47.7300890273,a4b7,1.6923768719,1.6787922444
48.413182206,0.9268853282,Bayer1,1.6849636298,-0.0329739923
48.3822002036,1.3332627114,Bayer1,1.6846856142,0.124915733
46.2586105002,0.4316171476,Bayer1,1.6651925834,-0.3649013097
45.3907061631,0.7948417526,Bayer1,1.6569669393,-0.0997193277
45.3694504204,0.8942641438,Bayer1,1.6567635185,-0.0485341823
44.4516055713,44.4516055713,a4b7,1.6478874521,1.6478874521
44.1567443788,44.1567443788,a4b7,1.6449970459,1.6449970459
42.8353987987,27.1887264116,Bayer1,1.6318028145,1.4343888646
40.9739852668,40.9739852668,Bayer1,1.6125082069,1.6125082069
40.694844953,40.694844953,Bayer1,1.6095393982,1.6095393982
40.2744750941,32.3280675818,a4b7,1.6050298889,1.5095797453
39.4322339982,0.583659404,Bayer1,1.5958513823,-0.2338405127
38.7703372376,0.459234425,Bayer1,1.5884995787,-0.3379655639
38.3088919716,38.3088919716,a4b7,1.5832995908,1.5832995908
37.8940071189,37.8940071189,Bayer1,1.5785705324,1.5785705324
36.1715794893,36.1715794893,a4b7,1.5583674733,1.5583674733
35.1084812852,35.1084812852,Bayer1,1.5454120433,1.5454120433
34.984140684,0.7896234735,a4b7,1.5438712108,-0.1025799497
34.5304970156,0.6747379885,Bayer1,1.5382028294,-0.1708648379
34.4534425659,0.5637210738,Bayer1,1.5372326228,-0.2489357295
33.4597811861,0.3745213972,Bayer1,1.5245230965,-0.4265233651
33.4553316876,33.4553316876,Bayer1,1.52446534,1.52446534
32.3377799163,1.2943482056,Bayer1,1.509710201,0.112051126
31.9744247544,1.1327448514,Bayer1,1.5048027399,0.0541320969
31.606155389,0.4800988594,Bayer1,1.4997716709,-0.3186693258
30.6243327355,1.7973965654,a4b7,1.4860666348,0.2546439075
28.9710501744,28.9710501744,a4b7,1.4619642383,1.4619642383
28.8853885973,0.3489956692,Bayer1,1.4606782145,-0.4571799623
28.0184999062,28.0184999062,a4b7,1.4474448797,1.4474448797
26.7095355935,0.3076666447,Bayer1,1.4266663369,-0.5119195847
26.0731534065,26.0731534065,a4b7,1.4161935599,1.4161935599
25.4823495427,0.5464957837,Bayer1,1.4062394687,-0.2624131844
23.199373728,1.2424997047,a4b7,1.3654762612,0.0942962942
23.1968254001,1.143820593,Bayer1,1.3654285536,0.0583579112
21.9324258323,0.4093826744,Bayer1,1.3410866694,-0.3878705411
21.7044044765,21.7044044765,a4b7,1.3365478742,1.3365478742
21.7019423514,0.5485099061,Bayer1,1.3364986055,-0.2608155246
21.6792088303,0.9920548515,Bayer1,1.3360434288,-0.0034643147
